"name","channel"
"pChk2","Pr141Di"
"cCasp3","Nd142Di"
"cPARP","Nd143Di"
"p-c-Jun","Nd144Di"
"Axin2","Nd145Di"
"pH2A.X","Sm147Di"
"pChk1","Nd148Di"
"pSmad1/8","Sm149Di"
"CD24","Nd150Di"
"pMEK","Eu151Di"
"pAkt","Sm152Di"
"pSmad2/3","Eu153Di"
"pNF-kB","Gd155Di"
"p-p38","Gd156Di"
"EphB2","Gd158Di"
"CD44","Dy162Di"
"IkBa","Dy164Di"
"Vimentin","Ho165Di"
"Ki-67","Er168Di"
"p4e-BP1","Er170Di"
"pERK","Yb171Di"
"p-p53","Yb172Di"
"act_Notch1","Yb173Di"
"FosB","Yb174Di"
"pS6","Lu175Di"
"Krt20","Yb176Di"
"DNA_191Ir","Ir191Di"
"DNA_193Ir","Ir193Di"
"Dead_cells_195Pt","Pt195Di"
