"","date","county","state","fips","cases","deaths"
"1","2020-03-12","Hanover","Virginia",51085,1,0
"2","2020-03-13","Hanover","Virginia",51085,1,0
"3","2020-03-14","Chesterfield","Virginia",51041,1,0
"4","2020-03-14","Hanover","Virginia",51085,1,0
"5","2020-03-15","Chesterfield","Virginia",51041,1,0
"6","2020-03-15","Hanover","Virginia",51085,1,0
"7","2020-03-16","Chesterfield","Virginia",51041,2,0
"8","2020-03-16","Hanover","Virginia",51085,1,0
"9","2020-03-17","Charlottesville city","Virginia",51540,1,0
"10","2020-03-17","Chesterfield","Virginia",51041,4,0
"11","2020-03-17","Goochland","Virginia",51075,1,0
"12","2020-03-17","Hanover","Virginia",51085,1,0
"13","2020-03-17","Henrico","Virginia",51087,2,0
"14","2020-03-18","Charles City","Virginia",51036,1,0
"15","2020-03-18","Charlottesville city","Virginia",51540,1,0
"16","2020-03-18","Chesterfield","Virginia",51041,5,0
"17","2020-03-18","Goochland","Virginia",51075,1,0
"18","2020-03-18","Hanover","Virginia",51085,1,0
"19","2020-03-18","Henrico","Virginia",51087,2,0
"20","2020-03-19","Charles City","Virginia",51036,1,0
"21","2020-03-19","Charlottesville city","Virginia",51540,1,0
"22","2020-03-19","Chesterfield","Virginia",51041,6,0
"23","2020-03-19","Goochland","Virginia",51075,1,0
"24","2020-03-19","Hanover","Virginia",51085,1,0
"25","2020-03-19","Henrico","Virginia",51087,2,0
"26","2020-03-20","Charles City","Virginia",51036,1,0
"27","2020-03-20","Charlottesville city","Virginia",51540,1,0
"28","2020-03-20","Chesterfield","Virginia",51041,6,0
"29","2020-03-20","Goochland","Virginia",51075,1,0
"30","2020-03-20","Hanover","Virginia",51085,1,0
"31","2020-03-20","Henrico","Virginia",51087,3,0
"32","2020-03-21","Albemarle","Virginia",51003,1,0
"33","2020-03-21","Charles City","Virginia",51036,1,0
"34","2020-03-21","Charlottesville city","Virginia",51540,1,0
"35","2020-03-21","Chesterfield","Virginia",51041,7,0
"36","2020-03-21","Goochland","Virginia",51075,1,0
"37","2020-03-21","Hanover","Virginia",51085,1,0
"38","2020-03-21","Henrico","Virginia",51087,7,0
"39","2020-03-22","Albemarle","Virginia",51003,2,0
"40","2020-03-22","Charles City","Virginia",51036,1,0
"41","2020-03-22","Charlottesville city","Virginia",51540,4,0
"42","2020-03-22","Chesterfield","Virginia",51041,8,0
