"","date","county","state","fips","cases","deaths"
"1","2020-03-07","Fairfax","Virginia",51059,1,0
"2","2020-03-08","Fairfax","Virginia",51059,2,0
"3","2020-03-09","Fairfax","Virginia",51059,4,0
"4","2020-03-10","Fairfax","Virginia",51059,4,0
"5","2020-03-10","Loudoun","Virginia",51107,2,0
"6","2020-03-11","Arlington","Virginia",51013,2,0
"7","2020-03-11","Fairfax","Virginia",51059,4,0
"8","2020-03-11","Loudoun","Virginia",51107,2,0
"9","2020-03-12","Alexandria city","Virginia",51510,1,0
"10","2020-03-12","Arlington","Virginia",51013,2,0
"11","2020-03-12","Fairfax","Virginia",51059,4,0
"12","2020-03-12","Loudoun","Virginia",51107,2,0
"13","2020-03-12","Prince William","Virginia",51153,1,0
"14","2020-03-13","Alexandria city","Virginia",51510,1,0
"15","2020-03-13","Arlington","Virginia",51013,5,0
"16","2020-03-13","Fairfax","Virginia",51059,6,0
"17","2020-03-13","Loudoun","Virginia",51107,3,0
"18","2020-03-13","Prince William","Virginia",51153,2,0
"19","2020-03-14","Alexandria city","Virginia",51510,1,0
"20","2020-03-14","Arlington","Virginia",51013,7,0
"21","2020-03-14","Fairfax","Virginia",51059,10,0
"22","2020-03-14","Loudoun","Virginia",51107,5,0
"23","2020-03-14","Prince William","Virginia",51153,2,0
"24","2020-03-14","Spotsylvania","Virginia",51177,1,0
"25","2020-03-15","Alexandria city","Virginia",51510,1,0
"26","2020-03-15","Arlington","Virginia",51013,8,0
"27","2020-03-15","Fairfax","Virginia",51059,10,0
"28","2020-03-15","Loudoun","Virginia",51107,5,0
"29","2020-03-15","Prince William","Virginia",51153,3,0
"30","2020-03-15","Spotsylvania","Virginia",51177,1,0
"31","2020-03-16","Alexandria city","Virginia",51510,2,0
"32","2020-03-16","Arlington","Virginia",51013,9,0
"33","2020-03-16","Fairfax","Virginia",51059,10,0
"34","2020-03-16","Loudoun","Virginia",51107,5,0
"35","2020-03-16","Prince William","Virginia",51153,3,0
"36","2020-03-16","Spotsylvania","Virginia",51177,1,0
"37","2020-03-16","Stafford","Virginia",51179,1,0
"38","2020-03-17","Alexandria city","Virginia",51510,2,0
"39","2020-03-17","Arlington","Virginia",51013,13,0
"40","2020-03-17","Fairfax","Virginia",51059,12,0
"41","2020-03-17","Loudoun","Virginia",51107,5,0
"42","2020-03-17","Prince William","Virginia",51153,4,0
"43","2020-03-17","Spotsylvania","Virginia",51177,1,0
"44","2020-03-17","Stafford","Virginia",51179,1,0
"45","2020-03-18","Alexandria city","Virginia",51510,2,0
"46","2020-03-18","Arlington","Virginia",51013,14,0
"47","2020-03-18","Fairfax","Virginia",51059,14,0
"48","2020-03-18","Loudoun","Virginia",51107,5,0
"49","2020-03-18","Prince William","Virginia",51153,4,0
"50","2020-03-18","Spotsylvania","Virginia",51177,1,0
"51","2020-03-18","Stafford","Virginia",51179,2,0
"52","2020-03-19","Alexandria city","Virginia",51510,3,0
"53","2020-03-19","Arlington","Virginia",51013,17,0
"54","2020-03-19","Fairfax","Virginia",51059,16,0
"55","2020-03-19","Loudoun","Virginia",51107,5,0
"56","2020-03-19","Prince William","Virginia",51153,12,0
"57","2020-03-19","Spotsylvania","Virginia",51177,1,0
