"","date","county","state","fips","cases","deaths"
"1","2020-03-13","Harrisonburg city","Virginia",51660,1,0
"2","2020-03-14","Harrisonburg city","Virginia",51660,1,0
"3","2020-03-15","Harrisonburg city","Virginia",51660,1,0
"4","2020-03-16","Harrisonburg city","Virginia",51660,1,0
"5","2020-03-17","Harrisonburg city","Virginia",51660,1,0
"6","2020-03-18","Harrisonburg city","Virginia",51660,1,0
"7","2020-03-19","Harrisonburg city","Virginia",51660,1,0
"8","2020-03-20","Harrisonburg city","Virginia",51660,1,0
"9","2020-03-21","Harrisonburg city","Virginia",51660,1,0
"10","2020-03-22","Harrisonburg city","Virginia",51660,1,0
"11","2020-03-22","Rockingham","Virginia",51165,2,0
"12","2020-03-23","Harrisonburg city","Virginia",51660,1,0
"13","2020-03-23","Rockbridge","Virginia",51163,1,0
"14","2020-03-23","Rockingham","Virginia",51165,2,0
"15","2020-03-24","Harrisonburg city","Virginia",51660,1,0
"16","2020-03-24","Rockbridge","Virginia",51163,1,0
"17","2020-03-24","Rockingham","Virginia",51165,3,0
"18","2020-03-25","Frederick","Virginia",51069,2,0
"19","2020-03-25","Harrisonburg city","Virginia",51660,2,0
"20","2020-03-25","Rockbridge","Virginia",51163,1,0
"21","2020-03-25","Rockingham","Virginia",51165,2,0
"22","2020-03-25","Shenandoah","Virginia",51171,3,0
"23","2020-03-26","Frederick","Virginia",51069,4,0
"24","2020-03-26","Harrisonburg city","Virginia",51660,3,0
"25","2020-03-26","Rockbridge","Virginia",51163,1,0
"26","2020-03-26","Rockingham","Virginia",51165,4,0
"27","2020-03-26","Shenandoah","Virginia",51171,3,0
"28","2020-03-27","Frederick","Virginia",51069,4,0
"29","2020-03-27","Harrisonburg city","Virginia",51660,5,0
"30","2020-03-27","Rockbridge","Virginia",51163,1,0
"31","2020-03-27","Rockingham","Virginia",51165,4,0
"32","2020-03-27","Shenandoah","Virginia",51171,3,0
"33","2020-03-28","Frederick","Virginia",51069,4,0
"34","2020-03-28","Harrisonburg city","Virginia",51660,5,0
"35","2020-03-28","Rockbridge","Virginia",51163,2,0
"36","2020-03-28","Rockingham","Virginia",51165,4,0
"37","2020-03-28","Shenandoah","Virginia",51171,3,0
"38","2020-03-29","Alleghany","Virginia",51005,1,0
"39","2020-03-29","Frederick","Virginia",51069,8,0
"40","2020-03-29","Harrisonburg city","Virginia",51660,5,0
"41","2020-03-29","Rockbridge","Virginia",51163,2,0
"42","2020-03-29","Rockingham","Virginia",51165,4,0
"43","2020-03-29","Shenandoah","Virginia",51171,4,0
"44","2020-03-29","Winchester city","Virginia",51840,1,0
"45","2020-03-30","Alleghany","Virginia",51005,1,0
"46","2020-03-30","Frederick","Virginia",51069,10,0
"47","2020-03-30","Harrisonburg city","Virginia",51660,6,0
"48","2020-03-30","Rockbridge","Virginia",51163,2,0
"49","2020-03-30","Rockingham","Virginia",51165,5,0
"50","2020-03-30","Shenandoah","Virginia",51171,6,0
"51","2020-03-30","Winchester city","Virginia",51840,3,0
"52","2020-03-31","Alleghany","Virginia",51005,1,0
"53","2020-03-31","Frederick","Virginia",51069,12,0
"54","2020-03-31","Harrisonburg city","Virginia",51660,6,0
"55","2020-03-31","Page","Virginia",51139,1,0
"56","2020-03-31","Rockbridge","Virginia",51163,2,0
"57","2020-03-31","Rockingham","Virginia",51165,5,0
"58","2020-03-31","Shenandoah","Virginia",51171,7,0
"59","2020-03-31","Waynesboro city","Virginia",51820,2,0
"60","2020-03-31","Winchester city","Virginia",51840,3,0
"61","2020-04-01","Alleghany","Virginia",51005,1,0
"62","2020-04-01","Augusta","Virginia",51015,1,0
"63","2020-04-01","Frederick","Virginia",51069,15,0
"64","2020-04-01","Harrisonburg city","Virginia",51660,10,0
"65","2020-04-01","Page","Virginia",51139,1,0
"66","2020-04-01","Rockbridge","Virginia",51163,2,0
"67","2020-04-01","Rockingham","Virginia",51165,9,0
"68","2020-04-01","Shenandoah","Virginia",51171,8,0
"69","2020-04-01","Waynesboro city","Virginia",51820,2,0
"70","2020-04-01","Winchester city","Virginia",51840,5,0
"71","2020-04-02","Alleghany","Virginia",51005,2,0
"72","2020-04-02","Augusta","Virginia",51015,2,0
"73","2020-04-02","Frederick","Virginia",51069,16,0
"74","2020-04-02","Harrisonburg city","Virginia",51660,15,0
"75","2020-04-02","Page","Virginia",51139,2,0
"76","2020-04-02","Rockbridge","Virginia",51163,2,0
