"","name","state","pop2000","pop2010","pop2017","pop_change","poverty","homeownership","multi_unit","unemployment_rate","metro","median_edu","per_capita_income","median_hh_income","smoking_ban"
"1","Accomack County","Virginia",38305,33164,32545,-1.27,19.8,74.1,5.6,4.82,"no","hs_diploma",24801.7,42260,"none"
"2","Albemarle County","Virginia",79236,98970,107702,5.23,9.8,65.4,23.7,3.31,"yes","bachelors",41397.54,72265,"none"
"3","Alleghany County","Virginia",12926,16250,15122,-4.99,19.3,82.7,7.5,4.87,"no","hs_diploma",26215.38,46020,"none"
"4","Amelia County","Virginia",11400,12690,13020,2.85,13,83.2,2.5,4,"yes","hs_diploma",25242.38,58535,"none"
"5","Amherst County","Virginia",31894,32353,31594,-1.75,13.4,75.4,9.3,4.18,"yes","hs_diploma",24066.01,49677,"none"
"6","Appomattox County","Virginia",13705,14973,15681,2.38,14.4,76,4.7,4.46,"yes","hs_diploma",25632.05,54875,"none"
"7","Arlington County","Virginia",189453,207627,234965,4.14,8.2,47,61.3,2.49,"yes","bachelors",65871.95,112138,"none"
"8","Augusta County","Virginia",65615,73750,75144,1.76,8.8,81.3,7.1,3.44,"yes","hs_diploma",30940.24,59544,"none"
"9","Bath County","Virginia",5048,4731,4297,-6.34,9.3,87,0.9,3.3,"no","hs_diploma",27525.21,44483,"none"
"10","Bedford County","Virginia",60371,68676,77974,2.33,8.9,84.5,3.8,3.92,"yes","some_college",30487.1,59405,"none"
"11","Bland County","Virginia",6871,6824,6350,-4.87,8.3,84.8,2,4.43,"no","hs_diploma",26207.14,46927,"none"
"12","Botetourt County","Virginia",30496,33148,33192,0.61,7.7,87.2,4.4,3.58,"yes","some_college",34140.32,64733,"none"
"13","Brunswick County","Virginia",18419,17434,16244,-2.5,20.9,70,3.2,5.49,"no","hs_diploma",21901.69,40871,"none"
"14","Buchanan County","Virginia",26978,24098,21514,-8.9,26.5,79.5,1.8,7.61,"no","hs_diploma",18561.25,30828,"none"
"15","Buckingham County","Virginia",15623,17146,17065,-0.53,16.6,74.7,4.4,5.4,"yes","hs_diploma",21010.98,46610,"none"
"16","Campbell County","Virginia",51078,54842,55010,-0.14,11.7,75.7,10.5,4.2,"yes","some_college",25969.42,48823,"none"
"17","Caroline County","Virginia",22121,28545,30461,4.1,11.9,82.9,2.4,4.31,"yes","hs_diploma",28657.2,60925,NA
"18","Carroll County","Virginia",29245,30042,29708,-0.67,14.6,76.2,3.5,4.65,"no","hs_diploma",22786.08,41145,"none"
"19","Charles City County","Virginia",6926,7256,7004,-0.95,13.2,85,1.9,4.8,"yes","hs_diploma",31980.58,55069,"none"
"20","Charlotte County","Virginia",12472,12586,12119,-1.29,22.7,77.9,4.1,4.74,"no","hs_diploma",18229.21,38350,"none"
"21","Chesterfield County","Virginia",259903,316236,343599,4.79,7.2,78.4,14.1,3.63,"yes","some_college",34796.35,76969,"none"
"22","Clarke County","Virginia",12652,14034,14508,1.81,10.4,75.8,9.3,3.43,"yes","some_college",37555.12,72129,"none"
"23","Craig County","Virginia",5091,5190,5062,-1.48,9.3,85.7,1.8,4.37,"yes","hs_diploma",27474.77,53526,"none"
"24","Culpeper County","Virginia",34262,46689,51282,5.49,8.9,72.6,10.3,3.62,"yes","some_college",30243.21,69693,"none"
"25","Cumberland County","Virginia",9017,10052,9811,-0.35,21.8,77.8,5.5,4.23,"no","hs_diploma",23177.24,43020,"none"
"26","Dickenson County","Virginia",16395,15903,14782,-4.82,23,80.6,5.1,7.33,"no","hs_diploma",20773.97,29916,"none"
"27","Dinwiddie County","Virginia",24533,28001,28208,0.49,14.8,75.8,3.1,4.5,"yes","hs_diploma",25296.97,54640,"none"
"28","Essex County","Virginia",9989,11151,11028,-1.13,12.3,74.8,8.4,5.01,"no","hs_diploma",25550.82,50629,"partial"
"29","Fairfax County","Virginia",969749,1081726,1148433,1.14,6.1,71.9,27.1,3.04,"yes","bachelors",51812.15,117515,"none"
"30","Fauquier County","Virginia",55139,65203,69465,3.41,6.2,78.8,7,3.28,"yes","some_college",41969.37,94775,"none"
"31","Floyd County","Virginia",13874,15279,15755,1.76,12,78.5,3.6,3.69,"yes","some_college",24895.85,48396,NA
"32","Fluvanna County","Virginia",20047,25691,26452,2.42,6.1,87.2,2,3.05,"yes","some_college",33196.46,67964,"none"
"33","Franklin County","Virginia",47286,56159,56445,0.29,14.8,78.5,7.8,3.97,"yes","some_college",27609.75,51208,"partial"
"34","Frederick County","Virginia",59209,78305,86484,6.11,5.6,78.8,6.3,3.19,"yes","some_college",31933.95,71037,NA
"35","Giles County","Virginia",16657,17286,16837,-0.88,11.3,77.8,6.2,4.72,"yes","hs_diploma",24883.47,49734,"none"
"36","Gloucester County","Virginia",34780,36858,37292,1.43,8.7,82.4,5.1,3.36,"yes","some_college",31953.01,63881,NA
