"","name","state","pop2000","pop2010","pop2017","pop_change","poverty","homeownership","multi_unit","unemployment_rate","metro","median_edu","per_capita_income","median_hh_income","smoking_ban"
"1","Adams County","Washington",16428,18728,19506,1.9,23.1,63.9,13.7,5.76,"no","hs_diploma",18090.18,48131,NA
"2","Asotin County","Washington",20551,21623,22535,1.84,13.5,71.3,15.6,4.18,"yes","some_college",26066.95,47483,NA
"3","Benton County","Washington",142475,175177,198171,7.48,13.4,69.7,21.9,5.5,"yes","some_college",30197.39,63001,"none"
"4","Chelan County","Washington",66616,72453,76533,3.71,12.8,68,18.1,4.87,"yes","some_college",26498.52,54975,NA
"5","Clallam County","Washington",64525,71404,75474,4.75,17.1,71.1,10.9,6.82,"no","some_college",28446.43,48002,NA
"6","Clark County","Washington",345238,425363,474643,7.49,10.3,67.8,22.1,5.1,"yes","some_college",31875.56,67832,"partial"
"7","Columbia County","Washington",4064,4078,4047,1.12,14.5,72.3,7.7,5.61,"yes","some_college",30268.92,46250,"none"
"8","Cowlitz County","Washington",92948,102410,106910,5.35,16.9,67.3,19.1,6.06,"yes","some_college",25563.49,49804,NA
"9","Douglas County","Washington",32603,38431,41945,6.36,13.7,71.9,13.5,5.71,"yes","some_college",24897.08,55805,"partial"
"10","Ferry County","Washington",7260,7551,7594,0.04,21.2,71.6,4.1,11.03,"no","some_college",21706.22,41081,NA
"11","Franklin County","Washington",49347,78163,92125,6.38,15.9,66.8,18,6.31,"yes","hs_diploma",21375.3,60275,"partial"
"12","Garfield County","Washington",2397,2266,2210,-1.21,11.7,72.8,5.7,5.46,"no","some_college",25367.12,51399,NA
"13","Grant County","Washington",74698,89120,95158,3.63,15.9,62.6,14.1,6.26,"no","hs_diploma",22124.09,52382,NA
"14","Grays Harbor County","Washington",67194,72797,72697,2.3,16,68.7,14.8,7.07,"no","some_college",24406.15,45483,NA
"15","Island County","Washington",71558,78506,83159,6.39,9.5,73.9,10.8,5.21,"no","some_college",34003.91,61516,NA
"16","Jefferson County","Washington",25953,29872,31234,4.15,12.8,73.8,9,6.12,"no","some_college",32441.59,51842,"none"
"17","King County","Washington",1737034,1931249,2188649,6.92,10.2,59.9,38.1,3.7,"yes","bachelors",46225.31,83571,NA
"18","Kitsap County","Washington",231969,251133,266414,5.54,9.9,68.4,19.4,4.9,"yes","some_college",34024.7,68336,NA
"19","Kittitas County","Washington",33362,40915,46205,10.47,19.6,56.5,23.6,5.31,"no","some_college",27391.45,53163,NA
"20","Klickitat County","Washington",19161,20318,21811,4.52,14.9,69.9,10.2,5.83,"no","some_college",24617.72,51258,NA
"21","Lewis County","Washington",68600,75455,78200,4.3,16,72.2,11,6.65,"no","some_college",23832.13,46387,"partial"
"22","Lincoln County","Washington",10184,10570,10579,2.75,13.7,78.5,4.4,4.94,"no","some_college",27513.85,49460,"partial"
"23","Mason County","Washington",49405,60699,63710,5.37,16.2,80.9,4.3,6.59,"no","some_college",25229.39,53087,NA
"24","Okanogan County","Washington",39564,41120,41742,1.59,21.8,68.6,9.8,6.87,"no","some_college",23126.27,42598,NA
"25","Pacific County","Washington",20984,20920,21626,5.78,18.6,74.2,9.9,7.04,"no","some_college",22415.32,39895,NA
"26","Pend Oreille County","Washington",11732,13001,13354,3.67,16.6,79.3,6.4,7.46,"yes","some_college",26191.3,49184,NA
"27","Pierce County","Washington",700820,795225,876764,7.03,12.2,63.3,24.8,5.36,"yes","some_college",30647.35,63881,"partial"
"28","San Juan County","Washington",14077,15769,16715,5.07,10.7,70.4,7.8,3.93,"no","some_college",41212.5,60271,NA
"29","Skagit County","Washington",102979,116901,125619,6.19,14.3,70.1,16.7,5.5,"yes","some_college",30078.26,59263,NA
"30","Skamania County","Washington",9872,11066,11837,4.68,13.3,76.2,5.5,6.17,"yes","some_college",27391.36,53606,NA
"31","Snohomish County","Washington",606024,713335,801633,7.69,8.8,68.1,26.1,4.12,"yes","some_college",35213.06,78020,NA
"32","Spokane County","Washington",417939,471221,506152,5.8,15.2,65,24.1,5.41,"yes","some_college",28683.13,52159,NA
"33","Stevens County","Washington",40066,43531,44730,3.4,15.6,80.6,5.9,7.26,"yes","some_college",24345.97,47272,NA
"34","Thurston County","Washington",207355,252264,280588,7.18,11.6,67.4,19.2,4.97,"yes","some_college",32098.4,66113,"none"
"35","Wahkiakum County","Washington",3824,3978,4264,5.75,13.9,72.3,5.8,7.12,"no","some_college",27420.27,49508,NA
"36","Walla Walla County","Washington",55180,58781,60567,2,14.4,61.8,22.4,4.92,"yes","some_college",28795.49,52630,NA
"37","Whatcom County","Washington",166814,201140,221404,7.38,15.3,62.3,26.2,5.01,"yes","some_college",29390.32,56419,NA
"38","Whitman County","Washington",40740,44776,49046,4.96,27.5,49,41.1,4.43,"no","some_college",24855.41,41574,NA
"39","Yakima County","Washington",222581,243231,250193,1.37,19,64.1,18.1,6.78,"yes","hs_diploma",21307.69,47470,NA
