"","date","county","state","fips","cases","deaths"
"1","2020-03-20","Accomack","Virginia",51001,1,0
"2","2020-03-21","Accomack","Virginia",51001,1,0
"3","2020-03-22","Accomack","Virginia",51001,1,0
"4","2020-03-23","Accomack","Virginia",51001,1,0
"5","2020-03-24","Accomack","Virginia",51001,1,0
"6","2020-03-25","Accomack","Virginia",51001,1,0
"7","2020-03-26","Accomack","Virginia",51001,2,0
"8","2020-03-26","Northampton","Virginia",51131,1,0
"9","2020-03-27","Accomack","Virginia",51001,2,0
"10","2020-03-27","Northampton","Virginia",51131,1,0
"11","2020-03-28","Accomack","Virginia",51001,2,0
"12","2020-03-28","Lancaster","Virginia",51103,1,0
"13","2020-03-28","Northampton","Virginia",51131,1,0
"14","2020-03-28","Northumberland","Virginia",51133,2,0
"15","2020-03-29","Accomack","Virginia",51001,3,0
"16","2020-03-29","Lancaster","Virginia",51103,1,0
"17","2020-03-29","Northampton","Virginia",51131,1,0
"18","2020-03-29","Northumberland","Virginia",51133,2,0
"19","2020-03-30","Accomack","Virginia",51001,6,0
"20","2020-03-30","Lancaster","Virginia",51103,1,0
"21","2020-03-30","Northampton","Virginia",51131,1,0
"22","2020-03-30","Northumberland","Virginia",51133,2,0
"23","2020-03-31","Accomack","Virginia",51001,7,0
"24","2020-03-31","King and Queen","Virginia",51097,1,0
"25","2020-03-31","Lancaster","Virginia",51103,1,0
"26","2020-03-31","Northampton","Virginia",51131,1,0
"27","2020-03-31","Northumberland","Virginia",51133,3,0
"28","2020-04-01","Accomack","Virginia",51001,7,0
"29","2020-04-01","King and Queen","Virginia",51097,1,0
"30","2020-04-01","Lancaster","Virginia",51103,1,0
"31","2020-04-01","Northampton","Virginia",51131,1,0
"32","2020-04-01","Northumberland","Virginia",51133,3,0
"33","2020-04-02","Accomack","Virginia",51001,10,0
"34","2020-04-02","King and Queen","Virginia",51097,1,0
"35","2020-04-02","Lancaster","Virginia",51103,1,0
"36","2020-04-02","Northampton","Virginia",51131,1,0
"37","2020-04-02","Northumberland","Virginia",51133,3,0
"38","2020-04-03","Accomack","Virginia",51001,8,0
"39","2020-04-03","King and Queen","Virginia",51097,1,0
"40","2020-04-03","Lancaster","Virginia",51103,1,0
"41","2020-04-03","Northampton","Virginia",51131,2,0
"42","2020-04-03","Northumberland","Virginia",51133,3,0
"43","2020-04-03","Richmond","Virginia",51159,1,0
"44","2020-04-03","Westmoreland","Virginia",51193,1,0
"45","2020-04-04","Accomack","Virginia",51001,8,0
"46","2020-04-04","King and Queen","Virginia",51097,1,0
"47","2020-04-04","Lancaster","Virginia",51103,1,0
"48","2020-04-04","Northampton","Virginia",51131,2,0
"49","2020-04-04","Northumberland","Virginia",51133,3,0
"50","2020-04-04","Richmond","Virginia",51159,1,0
"51","2020-04-04","Westmoreland","Virginia",51193,2,0
"52","2020-04-05","Accomack","Virginia",51001,11,0
"53","2020-04-05","King and Queen","Virginia",51097,1,0
"54","2020-04-05","Lancaster","Virginia",51103,1,0
"55","2020-04-05","Northampton","Virginia",51131,2,0
"56","2020-04-05","Northumberland","Virginia",51133,3,0
"57","2020-04-05","Richmond","Virginia",51159,1,0
"58","2020-04-05","Westmoreland","Virginia",51193,2,0
"59","2020-04-06","Accomack","Virginia",51001,11,0
"60","2020-04-06","King and Queen","Virginia",51097,1,0
"61","2020-04-06","Lancaster","Virginia",51103,1,0
"62","2020-04-06","Northampton","Virginia",51131,2,0
"63","2020-04-06","Northumberland","Virginia",51133,3,0
"64","2020-04-06","Richmond","Virginia",51159,1,0
"65","2020-04-06","Westmoreland","Virginia",51193,3,0
"66","2020-04-07","Accomack","Virginia",51001,11,0
"67","2020-04-07","King and Queen","Virginia",51097,1,0
"68","2020-04-07","Lancaster","Virginia",51103,1,0
"69","2020-04-07","Northampton","Virginia",51131,2,0
"70","2020-04-07","Northumberland","Virginia",51133,3,0
"71","2020-04-07","Richmond","Virginia",51159,2,0
"72","2020-04-07","Westmoreland","Virginia",51193,3,0
"73","2020-04-08","Accomack","Virginia",51001,11,0
"74","2020-04-08","King and Queen","Virginia",51097,1,0
"75","2020-04-08","Lancaster","Virginia",51103,1,0
"76","2020-04-08","Northampton","Virginia",51131,2,0
"77","2020-04-08","Northumberland","Virginia",51133,3,0
"78","2020-04-08","Richmond","Virginia",51159,2,0
"79","2020-04-08","Westmoreland","Virginia",51193,5,0
"80","2020-04-09","Accomack","Virginia",51001,11,0
"81","2020-04-09","King and Queen","Virginia",51097,2,0
"82","2020-04-09","Lancaster","Virginia",51103,1,0
"83","2020-04-09","Middlesex","Virginia",51119,2,0
"84","2020-04-09","Northampton","Virginia",51131,2,0
"85","2020-04-09","Northumberland","Virginia",51133,3,0
"86","2020-04-09","Richmond","Virginia",51159,3,0
"87","2020-04-09","Westmoreland","Virginia",51193,5,0
"88","2020-04-10","Accomack","Virginia",51001,12,0
"89","2020-04-10","King and Queen","Virginia",51097,2,0
"90","2020-04-10","Lancaster","Virginia",51103,1,0
"91","2020-04-10","Middlesex","Virginia",51119,3,0
"92","2020-04-10","Northampton","Virginia",51131,4,0
"93","2020-04-10","Northumberland","Virginia",51133,3,0
"94","2020-04-10","Richmond","Virginia",51159,5,0
"95","2020-04-10","Westmoreland","Virginia",51193,8,0
"96","2020-04-11","Accomack","Virginia",51001,15,0
"97","2020-04-11","King and Queen","Virginia",51097,2,0
"98","2020-04-11","Lancaster","Virginia",51103,1,0
"99","2020-04-11","Middlesex","Virginia",51119,3,0
"100","2020-04-11","Northampton","Virginia",51131,4,0
"101","2020-04-11","Northumberland","Virginia",51133,4,0
"102","2020-04-11","Richmond","Virginia",51159,5,0
"103","2020-04-11","Westmoreland","Virginia",51193,8,0
"104","2020-04-12","Accomack","Virginia",51001,15,0
"105","2020-04-12","King and Queen","Virginia",51097,2,0
"106","2020-04-12","Lancaster","Virginia",51103,1,0
"107","2020-04-12","Middlesex","Virginia",51119,3,0
"108","2020-04-12","Northampton","Virginia",51131,4,0
"109","2020-04-12","Northumberland","Virginia",51133,4,0
"110","2020-04-12","Richmond","Virginia",51159,5,0
"111","2020-04-12","Westmoreland","Virginia",51193,8,0
"112","2020-04-13","Accomack","Virginia",51001,15,0
"113","2020-04-13","King and Queen","Virginia",51097,2,0
"114","2020-04-13","Lancaster","Virginia",51103,1,0
"115","2020-04-13","Middlesex","Virginia",51119,3,0
"116","2020-04-13","Northampton","Virginia",51131,4,0
"117","2020-04-13","Northumberland","Virginia",51133,4,0
"118","2020-04-13","Richmond","Virginia",51159,5,0
"119","2020-04-13","Westmoreland","Virginia",51193,8,0
"120","2020-04-14","Accomack","Virginia",51001,15,0
"121","2020-04-14","King and Queen","Virginia",51097,2,0
"122","2020-04-14","Lancaster","Virginia",51103,1,0
"123","2020-04-14","Middlesex","Virginia",51119,3,0
"124","2020-04-14","Northampton","Virginia",51131,4,0
"125","2020-04-14","Northumberland","Virginia",51133,4,0
"126","2020-04-14","Richmond","Virginia",51159,7,0
