"","date","county","state","fips","cases","deaths"
"1","2020-03-12","James City","Virginia",51095,3,0
"2","2020-03-13","James City","Virginia",51095,8,0
"3","2020-03-14","James City","Virginia",51095,9,1
"4","2020-03-15","James City","Virginia",51095,9,1
"5","2020-03-16","James City","Virginia",51095,10,1
"6","2020-03-16","York","Virginia",51199,1,0
"7","2020-03-17","James City","Virginia",51095,12,2
"8","2020-03-17","Williamsburg city","Virginia",51830,1,0
"9","2020-03-17","York","Virginia",51199,1,0
"10","2020-03-18","James City","Virginia",51095,13,2
"11","2020-03-18","Williamsburg city","Virginia",51830,1,0
"12","2020-03-18","York","Virginia",51199,1,0
"13","2020-03-19","James City","Virginia",51095,14,2
"14","2020-03-19","Williamsburg city","Virginia",51830,1,0
"15","2020-03-19","York","Virginia",51199,1,0
"16","2020-03-20","Gloucester","Virginia",51073,1,0
"17","2020-03-20","James City","Virginia",51095,19,2
"18","2020-03-20","Norfolk city","Virginia",51710,1,0
"19","2020-03-20","Williamsburg city","Virginia",51830,4,0
"20","2020-03-20","York","Virginia",51199,3,0
"21","2020-03-21","Gloucester","Virginia",51073,2,0
"22","2020-03-21","Isle of Wight","Virginia",51093,1,0
"23","2020-03-21","James City","Virginia",51095,20,2
"24","2020-03-21","Norfolk city","Virginia",51710,3,0
"25","2020-03-21","Suffolk city","Virginia",51800,1,0
"26","2020-03-21","Williamsburg city","Virginia",51830,4,0
"27","2020-03-21","York","Virginia",51199,3,0
"28","2020-03-22","Gloucester","Virginia",51073,2,0
"29","2020-03-22","Isle of Wight","Virginia",51093,1,0
"30","2020-03-22","James City","Virginia",51095,32,3
"31","2020-03-22","Norfolk city","Virginia",51710,3,0
"32","2020-03-22","Suffolk city","Virginia",51800,1,0
"33","2020-03-22","Williamsburg city","Virginia",51830,5,1
"34","2020-03-22","York","Virginia",51199,5,0
"35","2020-03-23","Gloucester","Virginia",51073,2,0
"36","2020-03-23","Isle of Wight","Virginia",51093,1,0
"37","2020-03-23","James City","Virginia",51095,34,3
"38","2020-03-23","Norfolk city","Virginia",51710,4,0
"39","2020-03-23","Suffolk city","Virginia",51800,1,0
"40","2020-03-23","Williamsburg city","Virginia",51830,5,1
"41","2020-03-23","York","Virginia",51199,5,0
"42","2020-03-24","Chesapeake city","Virginia",51550,1,0
"43","2020-03-24","Gloucester","Virginia",51073,2,0
"44","2020-03-24","Isle of Wight","Virginia",51093,2,0
"45","2020-03-24","James City","Virginia",51095,37,3
"46","2020-03-24","Norfolk city","Virginia",51710,5,0
"47","2020-03-24","Suffolk city","Virginia",51800,1,0
"48","2020-03-24","Williamsburg city","Virginia",51830,5,1
"49","2020-03-24","York","Virginia",51199,6,0
"50","2020-03-25","Chesapeake city","Virginia",51550,3,0
"51","2020-03-25","Gloucester","Virginia",51073,2,0
"52","2020-03-25","Isle of Wight","Virginia",51093,2,0
"53","2020-03-25","James City","Virginia",51095,41,3
"54","2020-03-25","Mathews","Virginia",51115,1,0
"55","2020-03-25","Norfolk city","Virginia",51710,5,0
"56","2020-03-25","Suffolk city","Virginia",51800,1,0
"57","2020-03-25","Williamsburg city","Virginia",51830,5,1
"58","2020-03-25","York","Virginia",51199,8,0
"59","2020-03-26","Chesapeake city","Virginia",51550,4,0
"60","2020-03-26","Gloucester","Virginia",51073,3,0
"61","2020-03-26","Isle of Wight","Virginia",51093,2,0
"62","2020-03-26","James City","Virginia",51095,49,3
"63","2020-03-26","Mathews","Virginia",51115,1,0
"64","2020-03-26","Norfolk city","Virginia",51710,6,0
"65","2020-03-26","Suffolk city","Virginia",51800,1,0
"66","2020-03-26","Williamsburg city","Virginia",51830,5,1
"67","2020-03-26","York","Virginia",51199,9,0
"68","2020-03-27","Chesapeake city","Virginia",51550,5,0
"69","2020-03-27","Gloucester","Virginia",51073,3,0
"70","2020-03-27","Isle of Wight","Virginia",51093,2,0
"71","2020-03-27","James City","Virginia",51095,55,3
"72","2020-03-27","Mathews","Virginia",51115,1,0
"73","2020-03-27","Norfolk city","Virginia",51710,8,0
"74","2020-03-27","Suffolk city","Virginia",51800,1,0
"75","2020-03-27","Williamsburg city","Virginia",51830,5,1
"76","2020-03-27","York","Virginia",51199,9,0
"77","2020-03-28","Chesapeake city","Virginia",51550,7,0
"78","2020-03-28","Gloucester","Virginia",51073,6,0
"79","2020-03-28","Isle of Wight","Virginia",51093,3,0
"80","2020-03-28","James City","Virginia",51095,65,3
"81","2020-03-28","Mathews","Virginia",51115,2,0
"82","2020-03-28","Norfolk city","Virginia",51710,10,0
"83","2020-03-28","Suffolk city","Virginia",51800,1,0
"84","2020-03-28","Williamsburg city","Virginia",51830,6,1
"85","2020-03-28","York","Virginia",51199,9,0
"86","2020-03-29","Chesapeake city","Virginia",51550,15,0
"87","2020-03-29","Gloucester","Virginia",51073,6,0
"88","2020-03-29","Isle of Wight","Virginia",51093,3,0
"89","2020-03-29","James City","Virginia",51095,70,3
"90","2020-03-29","Mathews","Virginia",51115,2,0
"91","2020-03-29","Norfolk city","Virginia",51710,14,0
"92","2020-03-29","Suffolk city","Virginia",51800,1,0
"93","2020-03-29","Williamsburg city","Virginia",51830,7,1
"94","2020-03-29","York","Virginia",51199,9,0
"95","2020-03-30","Chesapeake city","Virginia",51550,18,0
"96","2020-03-30","Gloucester","Virginia",51073,7,0
"97","2020-03-30","Isle of Wight","Virginia",51093,3,0
"98","2020-03-30","James City","Virginia",51095,73,3
"99","2020-03-30","Mathews","Virginia",51115,2,0
"100","2020-03-30","Norfolk city","Virginia",51710,17,0
"101","2020-03-30","Suffolk city","Virginia",51800,3,0
"102","2020-03-30","Williamsburg city","Virginia",51830,7,1
"103","2020-03-30","York","Virginia",51199,11,0
"104","2020-03-31","Chesapeake city","Virginia",51550,23,0
"105","2020-03-31","Gloucester","Virginia",51073,7,0
"106","2020-03-31","Isle of Wight","Virginia",51093,4,0
"107","2020-03-31","James City","Virginia",51095,89,3
"108","2020-03-31","Mathews","Virginia",51115,2,0
