"","date","county","state","fips","cases","deaths"
"1","2020-03-22","Lee","Virginia",51105,2,0
"2","2020-03-23","Lee","Virginia",51105,2,0
"3","2020-03-24","Lee","Virginia",51105,2,0
"4","2020-03-25","Lee","Virginia",51105,2,0
"5","2020-03-26","Lee","Virginia",51105,2,0
"6","2020-03-26","Washington","Virginia",51191,1,0
"7","2020-03-27","Bristol city","Virginia",51520,1,0
"8","2020-03-27","Galax city","Virginia",51640,1,0
"9","2020-03-27","Lee","Virginia",51105,2,0
"10","2020-03-27","Washington","Virginia",51191,1,0
"11","2020-03-28","Bristol city","Virginia",51520,1,0
"12","2020-03-28","Galax city","Virginia",51640,1,0
"13","2020-03-28","Lee","Virginia",51105,2,0
"14","2020-03-28","Washington","Virginia",51191,1,0
"15","2020-03-29","Bristol city","Virginia",51520,1,0
"16","2020-03-29","Galax city","Virginia",51640,1,0
"17","2020-03-29","Lee","Virginia",51105,2,0
"18","2020-03-29","Tazewell","Virginia",51185,1,0
"19","2020-03-29","Washington","Virginia",51191,2,0
"20","2020-03-29","Wythe","Virginia",51197,1,0
"21","2020-03-30","Bristol city","Virginia",51520,1,0
"22","2020-03-30","Galax city","Virginia",51640,1,0
"23","2020-03-30","Lee","Virginia",51105,2,0
"24","2020-03-30","Smyth","Virginia",51173,1,0
"25","2020-03-30","Tazewell","Virginia",51185,2,0
"26","2020-03-30","Washington","Virginia",51191,2,0
"27","2020-03-30","Wythe","Virginia",51197,1,0
"28","2020-03-31","Bristol city","Virginia",51520,1,0
"29","2020-03-31","Carroll","Virginia",51035,1,0
"30","2020-03-31","Galax city","Virginia",51640,1,0
"31","2020-03-31","Lee","Virginia",51105,2,0
"32","2020-03-31","Smyth","Virginia",51173,1,0
"33","2020-03-31","Tazewell","Virginia",51185,2,0
"34","2020-03-31","Washington","Virginia",51191,2,0
"35","2020-03-31","Wythe","Virginia",51197,1,0
"36","2020-04-01","Bristol city","Virginia",51520,1,0
"37","2020-04-01","Carroll","Virginia",51035,1,0
"38","2020-04-01","Galax city","Virginia",51640,1,0
"39","2020-04-01","Lee","Virginia",51105,2,0
"40","2020-04-01","Smyth","Virginia",51173,2,0
"41","2020-04-01","Tazewell","Virginia",51185,2,0
"42","2020-04-01","Washington","Virginia",51191,2,0
"43","2020-04-01","Wythe","Virginia",51197,2,0
"44","2020-04-02","Bristol city","Virginia",51520,1,0
"45","2020-04-02","Carroll","Virginia",51035,1,0
"46","2020-04-02","Galax city","Virginia",51640,1,0
"47","2020-04-02","Lee","Virginia",51105,2,0
"48","2020-04-02","Smyth","Virginia",51173,2,0
"49","2020-04-02","Tazewell","Virginia",51185,2,0
"50","2020-04-02","Washington","Virginia",51191,2,0
"51","2020-04-02","Wythe","Virginia",51197,2,0
"52","2020-04-03","Bristol city","Virginia",51520,1,0
"53","2020-04-03","Carroll","Virginia",51035,1,0
"54","2020-04-03","Galax city","Virginia",51640,1,0
"55","2020-04-03","Lee","Virginia",51105,2,0
"56","2020-04-03","Smyth","Virginia",51173,2,0
"57","2020-04-03","Tazewell","Virginia",51185,2,0
"58","2020-04-03","Washington","Virginia",51191,3,0
"59","2020-04-03","Wise","Virginia",51195,1,0
"60","2020-04-03","Wythe","Virginia",51197,2,0
"61","2020-04-04","Bristol city","Virginia",51520,1,0
"62","2020-04-04","Carroll","Virginia",51035,1,0
"63","2020-04-04","Galax city","Virginia",51640,1,0
"64","2020-04-04","Lee","Virginia",51105,2,0
"65","2020-04-04","Smyth","Virginia",51173,2,0
"66","2020-04-04","Tazewell","Virginia",51185,2,0
"67","2020-04-04","Washington","Virginia",51191,3,0
"68","2020-04-04","Wise","Virginia",51195,1,0
"69","2020-04-04","Wythe","Virginia",51197,2,0
"70","2020-04-05","Bristol city","Virginia",51520,1,0
"71","2020-04-05","Carroll","Virginia",51035,1,0
"72","2020-04-05","Galax city","Virginia",51640,1,0
