"","date","county","state","fips","cases","deaths"
"1","2020-03-21","Botetourt","Virginia",51023,1,0
"2","2020-03-21","Franklin","Virginia",51067,1,0
"3","2020-03-22","Amherst","Virginia",51009,1,0
"4","2020-03-22","Bedford","Virginia",51019,1,0
"5","2020-03-22","Botetourt","Virginia",51023,1,0
"6","2020-03-22","Franklin","Virginia",51067,1,0
"7","2020-03-23","Amherst","Virginia",51009,1,0
"8","2020-03-23","Bedford","Virginia",51019,1,0
"9","2020-03-23","Botetourt","Virginia",51023,1,0
"10","2020-03-23","Franklin","Virginia",51067,1,0
"11","2020-03-24","Amherst","Virginia",51009,1,0
"12","2020-03-24","Bedford","Virginia",51019,1,0
"13","2020-03-24","Botetourt","Virginia",51023,1,0
"14","2020-03-24","Franklin","Virginia",51067,1,0
"15","2020-03-25","Amherst","Virginia",51009,1,0
"16","2020-03-25","Bedford","Virginia",51019,2,0
"17","2020-03-25","Botetourt","Virginia",51023,1,0
"18","2020-03-25","Franklin","Virginia",51067,1,0
"19","2020-03-25","Roanoke","Virginia",51161,1,0
"20","2020-03-26","Amherst","Virginia",51009,1,0
"21","2020-03-26","Bedford","Virginia",51019,2,0
"22","2020-03-26","Botetourt","Virginia",51023,1,0
"23","2020-03-26","Franklin","Virginia",51067,1,0
"24","2020-03-26","Lynchburg city","Virginia",51680,1,0
"25","2020-03-26","Radford city","Virginia",51750,1,0
"26","2020-03-26","Roanoke","Virginia",51161,1,0
"27","2020-03-27","Amherst","Virginia",51009,1,0
"28","2020-03-27","Bedford","Virginia",51019,2,0
"29","2020-03-27","Botetourt","Virginia",51023,1,0
"30","2020-03-27","Franklin","Virginia",51067,1,0
"31","2020-03-27","Lynchburg city","Virginia",51680,2,0
"32","2020-03-27","Radford city","Virginia",51750,1,0
"33","2020-03-27","Roanoke","Virginia",51161,1,0
"34","2020-03-27","Roanoke city","Virginia",51770,1,0
"35","2020-03-28","Amherst","Virginia",51009,2,0
"36","2020-03-28","Bedford","Virginia",51019,2,0
"37","2020-03-28","Botetourt","Virginia",51023,1,0
"38","2020-03-28","Franklin","Virginia",51067,1,0
"39","2020-03-28","Lynchburg city","Virginia",51680,2,0
"40","2020-03-28","Montgomery","Virginia",51121,1,0
"41","2020-03-28","Radford city","Virginia",51750,1,0
"42","2020-03-28","Roanoke","Virginia",51161,1,0
"43","2020-03-28","Roanoke city","Virginia",51770,1,0
"44","2020-03-29","Amherst","Virginia",51009,2,0
"45","2020-03-29","Bedford","Virginia",51019,2,0
"46","2020-03-29","Botetourt","Virginia",51023,2,0
"47","2020-03-29","Franklin","Virginia",51067,5,0
"48","2020-03-29","Lynchburg city","Virginia",51680,3,0
"49","2020-03-29","Montgomery","Virginia",51121,1,0
"50","2020-03-29","Radford city","Virginia",51750,1,0
"51","2020-03-29","Roanoke","Virginia",51161,2,0
"52","2020-03-29","Roanoke city","Virginia",51770,1,0
"53","2020-03-30","Amherst","Virginia",51009,3,0
"54","2020-03-30","Bedford","Virginia",51019,2,0
"55","2020-03-30","Botetourt","Virginia",51023,5,0
"56","2020-03-30","Franklin","Virginia",51067,5,0
"57","2020-03-30","Lynchburg city","Virginia",51680,4,0
"58","2020-03-30","Montgomery","Virginia",51121,1,0
"59","2020-03-30","Radford city","Virginia",51750,1,0
"60","2020-03-30","Roanoke","Virginia",51161,2,0
"61","2020-03-30","Roanoke city","Virginia",51770,6,0
"62","2020-03-31","Amherst","Virginia",51009,3,0
"63","2020-03-31","Bedford","Virginia",51019,2,0
"64","2020-03-31","Botetourt","Virginia",51023,5,0
"65","2020-03-31","Campbell","Virginia",51031,1,0
"66","2020-03-31","Franklin","Virginia",51067,5,0
"67","2020-03-31","Lynchburg city","Virginia",51680,5,0
"68","2020-03-31","Montgomery","Virginia",51121,1,0
"69","2020-03-31","Radford city","Virginia",51750,1,0
"70","2020-03-31","Roanoke","Virginia",51161,3,0
"71","2020-03-31","Roanoke city","Virginia",51770,6,0
"72","2020-04-01","Amherst","Virginia",51009,5,0
"73","2020-04-01","Bedford","Virginia",51019,3,0
"74","2020-04-01","Botetourt","Virginia",51023,6,0
"75","2020-04-01","Campbell","Virginia",51031,2,0
"76","2020-04-01","Franklin","Virginia",51067,5,0
"77","2020-04-01","Lynchburg city","Virginia",51680,7,0
"78","2020-04-01","Montgomery","Virginia",51121,1,0
"79","2020-04-01","Radford city","Virginia",51750,1,0
"80","2020-04-01","Roanoke","Virginia",51161,4,0
"81","2020-04-01","Roanoke city","Virginia",51770,6,0
"82","2020-04-02","Amherst","Virginia",51009,6,0
"83","2020-04-02","Bedford","Virginia",51019,3,0
"84","2020-04-02","Botetourt","Virginia",51023,8,0
"85","2020-04-02","Campbell","Virginia",51031,2,0
"86","2020-04-02","Franklin","Virginia",51067,6,0
"87","2020-04-02","Lynchburg city","Virginia",51680,9,0
"88","2020-04-02","Montgomery","Virginia",51121,1,0
"89","2020-04-02","Radford city","Virginia",51750,1,0
"90","2020-04-02","Roanoke","Virginia",51161,4,0
"91","2020-04-02","Roanoke city","Virginia",51770,9,0
"92","2020-04-03","Amherst","Virginia",51009,6,0
"93","2020-04-03","Bedford","Virginia",51019,3,0
"94","2020-04-03","Botetourt","Virginia",51023,8,0
"95","2020-04-03","Campbell","Virginia",51031,2,0
"96","2020-04-03","Franklin","Virginia",51067,9,0
"97","2020-04-03","Lynchburg city","Virginia",51680,9,0
"98","2020-04-03","Montgomery","Virginia",51121,1,0
"99","2020-04-03","Pulaski","Virginia",51155,1,0
"100","2020-04-03","Radford city","Virginia",51750,1,0
"101","2020-04-03","Roanoke","Virginia",51161,4,0
"102","2020-04-03","Roanoke city","Virginia",51770,9,0
"103","2020-04-04","Amherst","Virginia",51009,6,0
"104","2020-04-04","Bedford","Virginia",51019,4,0
"105","2020-04-04","Botetourt","Virginia",51023,14,0
"106","2020-04-04","Campbell","Virginia",51031,2,0
"107","2020-04-04","Franklin","Virginia",51067,10,0
"108","2020-04-04","Lynchburg city","Virginia",51680,10,0
"109","2020-04-04","Montgomery","Virginia",51121,6,0
"110","2020-04-04","Pulaski","Virginia",51155,1,0
"111","2020-04-04","Radford city","Virginia",51750,1,0
"112","2020-04-04","Roanoke","Virginia",51161,5,0
"113","2020-04-04","Roanoke city","Virginia",51770,10,0
"114","2020-04-05","Amherst","Virginia",51009,6,0
"115","2020-04-05","Bedford","Virginia",51019,4,0
"116","2020-04-05","Botetourt","Virginia",51023,15,0
"117","2020-04-05","Campbell","Virginia",51031,2,0
"118","2020-04-05","Franklin","Virginia",51067,10,0
"119","2020-04-05","Lynchburg city","Virginia",51680,10,0
"120","2020-04-05","Montgomery","Virginia",51121,6,0
"121","2020-04-05","Pulaski","Virginia",51155,1,0
"122","2020-04-05","Radford city","Virginia",51750,1,0
"123","2020-04-05","Roanoke","Virginia",51161,5,0
"124","2020-04-05","Roanoke city","Virginia",51770,10,0
"125","2020-04-06","Amherst","Virginia",51009,6,0
"126","2020-04-06","Appomattox","Virginia",51011,1,0
"127","2020-04-06","Bedford","Virginia",51019,5,0
"128","2020-04-06","Botetourt","Virginia",51023,15,0
"129","2020-04-06","Campbell","Virginia",51031,2,0
"130","2020-04-06","Franklin","Virginia",51067,10,0
"131","2020-04-06","Giles","Virginia",51071,1,0
"132","2020-04-06","Lynchburg city","Virginia",51680,11,0
"133","2020-04-06","Montgomery","Virginia",51121,7,0
"134","2020-04-06","Pulaski","Virginia",51155,1,0
"135","2020-04-06","Radford city","Virginia",51750,1,0
"136","2020-04-06","Roanoke","Virginia",51161,5,0
"137","2020-04-06","Roanoke city","Virginia",51770,11,0
"138","2020-04-07","Amherst","Virginia",51009,8,0
"139","2020-04-07","Appomattox","Virginia",51011,3,0
"140","2020-04-07","Bedford","Virginia",51019,8,0
"141","2020-04-07","Botetourt","Virginia",51023,18,0
